,X,Time,ICS,ICC,ICE,PAGO,PEXP,BUS12,BUS5,DUR
168,168,6/23/2008,63.67555556,77.68833333,54.67166667,10.69040265,17.26911197,4.934031992,9.868063985,18.9137893
169,169,6/24/2008,61.20777778,83.99722222,46.56833333,15.62443464,16.44677331,5.756370658,4.934031992,16.44677331
170,170,6/30/2008,66.14181818,91.45,49.88333333,15.25064434,15.25064434,5.382580355,8.522418896,19.73612797
171,171,6/26/2008,62.55363636,94.89181818,41.78,14.80209598,10.76516071,5.382580355,8.073870533,21.53032142
172,172,6/27/2008,39.57346154,47.12192308,34.725,5.123802454,11.95553906,1.707934151,6.262425221,12.52485044
173,173,6/28/2008,51.5865,64.443,43.327,7.401047988,11.10157198,4.440628793,9.621362385,17.02241037
174,174,6/29/2008,53.0665,56.874,50.62,5.920838391,14.06199118,7.401047988,8.141152787,15.54220078
175,175,7/1/2008,52.66884615,58.76615385,48.75,5.123802454,13.09416183,3.985179686,11.38622767,17.07934151
176,176,7/2/2008,57.68428571,68.67761905,50.62,11.98264912,11.27778741,7.048617132,11.27778741,14.09723426
177,177,7/3/2008,65.83375,61.13125,68.8525,8.326178987,15.72722698,10.17644098,14.80209598,14.80209598
178,178,7/5/2008,47.64,87.15,22.25833333,7.401047988,12.33507998,0,0,25.90366796
179,179,7/6/2008,50.845,51.197,50.62,8.881257586,13.32188638,7.401047988,8.881257586,10.36146718
180,180,7/7/2008,58.80783784,64.39162162,55.21918919,9.201302904,15.20215262,5.600793072,11.60164279,15.20215262
181,181,7/8/2008,65.648,72.0115,61.5595,10.36146718,15.54220078,10.36146718,10.36146718,17.02241037
182,182,7/9/2008,52.41875,70.5925,40.7440625,10.63900648,12.95183398,5.088220492,5.550785991,16.18979247
183,183,7/10/2008,62.688,89.043,45.758,19.24272477,14.80209598,4.440628793,7.401047988,14.80209598
184,184,7/11/2008,73.54333333,62.97166667,80.33222222,13.97975731,18.09145064,11.51274132,18.09145064,9.868063985
185,185,7/12/2008,58.93,60.22153846,58.1,11.38622767,17.07934151,6.831736605,10.24760491,11.38622767
186,186,7/13/2008,67.78666667,69.27777778,66.82666667,16.44677331,14.80209598,11.51274132,13.15741865,9.868063985
187,187,7/14/2008,60.616,71.634,53.5372,11.84167678,15.98626365,6.51292223,8.881257586,15.39417982
188,188,7/15/2008,65.71217391,76.04304348,59.07565217,9.653540854,16.08923476,6.435693903,12.22781842,19.30708171
189,189,7/16/2008,73.6416,89.7992,63.2612,13.6179283,17.76251517,8.289173747,11.24959294,20.72293437
190,190,7/20/2008,68.609,92.827,53.051,17.76251517,17.76251517,4.440628793,8.881257586,17.76251517
191,191,7/17/2008,60.15,56.06428571,62.775,6.343755419,13.74480341,10.5729257,12.68751084,14.80209598
192,192,7/18/2008,59.86272727,74.24818182,50.62,8.073870533,14.80209598,2.691290178,12.1108058,20.18467633
193,193,7/19/2008,60.53590909,72.52818182,52.83,9.419515622,16.82056361,8.746693077,5.382580355,18.1662087
194,194,7/21/2008,71.3,79.40909091,66.09,12.78362834,17.49338615,7.401047988,14.12927343,17.49338615
195,195,7/22/2008,68.96142857,83.0952381,59.88095238,11.98264912,18.32640454,7.048617132,9.868063985,19.73612797
196,196,7/24/2008,58.248,70.12066667,50.62,8.881257586,13.81528958,7.894451188,7.894451188,17.76251517
197,197,7/25/2008,61.98631579,65.73789474,59.57631579,9.348692196,16.36021134,9.348692196,9.348692196,15.58115366
198,198,7/26/2008,56.028,64.4425,50.62,11.10157198,13.32188638,5.180733592,11.10157198,13.32188638
199,199,7/27/2008,62.4425,65.07375,60.74916667,6.16753999,17.88586597,8.017801987,9.868063985,18.50261997
200,200,7/28/2008,55.82484848,68.51393939,47.67333333,9.868063985,13.45645089,5.382580355,8.970967259,16.14774107
201,201,7/29/2008,62.10454545,66.22060606,59.46,11.21370907,14.80209598,8.970967259,11.21370907,13.90499925
202,202,7/30/2008,64.49777778,83.29518519,52.42074074,10.96451554,14.2538702,7.1269351,9.319838208,20.83257952
203,203,7/31/2008,52.19782609,62.88043478,45.33521739,8.366402074,12.87138781,4.504985732,9.009971464,15.44566537
204,204,8/1/2008,68.03846154,89.33461538,54.36,18.21796428,13.66347321,5.693113837,12.52485044,15.94071874
205,205,8/2/2008,51.69214286,61.46928571,45.41071429,10.5729257,13.74480341,7.401047988,5.286462849,12.68751084
206,206,8/3/2008,85.87666667,90.30333333,83.03333333,17.76251517,19.73612797,11.84167678,17.76251517,16.77570877
207,207,8/4/2008,64.79636364,77.68909091,56.51333333,8.522418896,14.35354761,8.073870533,10.76516071,21.08177306
208,208,8/5/2008,73.54277778,79.79222222,69.52777778,14.80209598,20.55846663,6.578709323,13.97975731,15.62443464
209,209,8/6/2008,73.31909091,81.13,68.3,9.419515622,17.49338615,10.76516071,12.1108058,21.53032142
210,210,8/7/2008,50.95923077,42.75538462,56.23,6.831736605,15.94071874,3.415868302,13.66347321,9.10898214
211,211,8/8/2008,77.489,96.61,65.206,16.28230557,14.80209598,10.36146718,13.32188638,20.72293437
212,212,8/9/2008,62.194,54.982,66.82666667,7.894451188,15.78890238,10.85487038,12.82848318,12.82848318
213,213,8/10/2008,77.24416667,90.30416667,68.8525,16.03560397,18.50261997,3.700523994,18.50261997,18.50261997
214,214,8/11/2008,61.20789474,73.70526316,53.17894737,13.24398061,16.36021134,3.895288415,10.90680756,14.80209598
215,215,8/12/2008,64.17,70.12,60.344,8.881257586,20.72293437,8.881257586,5.920838391,17.76251517
216,216,8/13/2008,65.43571429,72.28142857,61.03857143,19.03126626,14.80209598,12.68751084,8.458340558,8.458340558
217,217,8/14/2008,49.366,62.55,40.896,11.84167678,14.80209598,2.960419195,5.920838391,11.84167678
218,218,8/15/2008,87.852,62.552,104.102,5.920838391,26.64377276,11.84167678,23.68335356,17.76251517
219,219,8/16/2008,74.36444444,69.27777778,77.63111111,9.868063985,16.44677331,18.09145064,11.51274132,16.44677331
220,220,8/17/2008,61.20888889,77.68777778,50.62,8.223386654,13.15741865,8.223386654,8.223386654,21.3808053
221,221,8/18/2008,65.43571429,88.50142857,50.62,16.91668112,16.91668112,4.229170279,8.458340558,16.91668112
222,222,8/19/2008,63.9,74.24909091,57.25,12.1108058,16.14774107,5.382580355,12.1108058,16.14774107
223,223,8/20/2008,46.405,49.305,44.5425,11.10157198,14.80209598,7.401047988,3.700523994,7.401047988
224,224,8/21/2008,65.43571429,66.87571429,64.51142857,12.68751084,16.91668112,8.458340558,12.68751084,12.68751084
225,225,8/22/2008,78.972,77.688,79.792,8.881257586,23.68335356,11.84167678,11.84167678,20.72293437
226,226,8/23/2008,59.56333333,86.09777778,42.51666667,13.15741865,16.44677331,3.289354662,4.934031992,19.73612797
227,227,8/24/2008,61.20785714,58.76642857,62.775,10.5729257,13.74480341,10.5729257,12.68751084,11.63021827
228,228,8/25/2008,62.03,73.48388889,54.67166667,9.868063985,14.80209598,4.934031992,12.33507998,18.09145064
229,229,8/26/2008,76.010625,87.15,68.8525,12.95183398,17.57748897,12.95183398,10.17644098,20.35288197
230,230,8/27/2008,50.105,68.2275,38.465,11.10157198,14.80209598,7.401047988,0,14.80209598
